index,reactant,reagent,product,catalyst,ethanol_sty,time_h,temperature_c,pressure_bar,h2_co_ratio,ghsv_h-1,catalyst_components_count,catalyst_primary_loading_wt,source_dataset,styha_g_h_gcat,ha_c2_fraction,co_conversion,selectivity_co2,selectivity_ch4,selectivity_meoh,selectivity_ha,xrf_zr,xrf_cu,xrf_co,xrf_fe
phase_1-row001-exp1,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.012637674686273583,1.0,260.0,50.0,2.0,24000.0,4,47.8,zenodo_11639494_phase_1,0.15855596283119844,0.07970482131742898,0.13059392500003866,0.08069143660472003,0.25948468922522105,0.07839410941464803,0.14491562718411125,0.101,0.478,0.213,0.208
phase_1-row002-exp2,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.010420837442887005,1.0,260.0,50.0,2.0,24000.0,4,48.0,zenodo_11639494_phase_1,0.22011616108104373,0.047342445878157016,0.23773320737798448,0.05702284119324265,0.17853230342283444,0.02011849931932332,0.10755215871381803,0.101,0.202,0.48,0.217
phase_1-row003-exp3,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.022878602974297592,1.0,260.0,50.0,2.0,24000.0,4,42.1,zenodo_11639494_phase_1,0.24250257903850259,0.09434375116754991,0.16578646805162045,0.10058352403465312,0.2538907248413421,0.08549448999787115,0.15790146088842394,0.117,0.421,0.104,0.36
phase_1-row004-exp4,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.021982762063089467,1.0,260.0,50.0,2.0,24000.0,4,46.5,zenodo_11639494_phase_1,0.2702142025438387,0.08135309638109436,0.19507410043329015,0.10942026051166523,0.22273574547411956,0.06364926081516928,0.15257624643593493,0.0966,0.201,0.23,0.465
phase_1-row005-exp5,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Cu].[Cu].[Zr].[Zr].[Zr],0.023133695730584294,1.0,260.0,50.0,2.0,24000.0,4,40.1,zenodo_11639494_phase_1,0.2785895707416114,0.08303862800391953,0.18969652251477537,0.10098820457384863,0.23161743811828586,0.053324574666088496,0.16475771556327434,0.128,0.112,0.401,0.359
phase_1-row006-exp6,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Cu].[Cu].[Zr].[Zr].[Zr],0.02690523925232553,1.0,260.0,50.0,2.0,24000.0,4,60.5,zenodo_11639494_phase_1,0.30480002790965455,0.08827177424111156,0.2771109728252298,0.14268776744101472,0.2304716401761996,0.07746547816370034,0.1476261679973892,0.128,0.107,0.161,0.605
phase_1-row007-exp1,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Cu].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr],0.004098912314113585,1.0,260.0,50.0,2.0,24000.0,4,62.38071000000001,zenodo_11639494_phase_1,0.04452930185657623,0.09204977718527255,0.0855924164369699,0.13494716222060665,0.2825510518599287,0.07652868596210205,0.12421106407881996,0.6238071000000001,0.05240792000000001,0.05435974,0.26942525
phase_1-row008-exp2,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr],0.004501406388690232,1.0,260.0,50.0,2.0,24000.0,4,35.663415,zenodo_11639494_phase_1,0.074679921716266,0.060275992331547706,0.1002394672422019,0.06007135704253429,0.2618177277119824,0.04433392265514731,0.10960474897210727,0.051380669999999996,0.35058025,0.35663415,0.2414049
phase_1-row009-exp3,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr].[Zr].[Zr].[Zr],0.009811894676031234,1.0,260.0,50.0,2.0,24000.0,4,27.919005,zenodo_11639494_phase_1,0.12307537267381474,0.0797226485109705,0.11133241080594075,0.12660613465521048,0.2449107798475112,0.0740674997964478,0.13876051545231935,0.24378215,0.26560795,0.21141985,0.27919004999999997
phase_1-row010-exp4,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Cu].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr],0.013378224177811312,1.0,260.0,50.0,2.0,24000.0,4,34.318664999999996,zenodo_11639494_phase_1,0.17646448811736998,0.07581255764566747,0.18674499904647832,0.11666194059203211,0.1900963043344051,0.038393053247589015,0.14425210774315553,0.2785053,0.05017676,0.34318665,0.32813119999999996
