index,reactant,reagent,product,catalyst,methanol_sty,time_h,temperature_c,pressure_bar,h2_co2_ratio,ghsv_h-1,catalyst_components_count,catalyst_primary_loading_wt,source_dataset
themecat-393,O=C=O,[H][H],CO,[Cu].[Mg].[Ti],0.0157,1.0,219.85000000000002,30.0,3.0,4.27,3.0,79.7,themecat
themecat-394,O=C=O,[H][H],CO,[Cu].[Mg].[Ti],0.0205,1.0,219.85000000000002,30.0,3.0,4.27,3.0,82.7,themecat
themecat-395,O=C=O,[H][H],CO,[Cu].[Mg].[Ti],0.0182,1.0,219.85000000000002,30.0,3.0,4.27,3.0,88.8,themecat
themecat-396,O=C=O,[H][H],CO,[Cu].[Mg].[Ti],0.013,1.0,179.85000000000002,30.0,3.0,4.27,3.0,88.8,themecat
themecat-397,O=C=O,[H][H],CO,[Cu].[Mg].[Ti],0.018,1.0,199.85000000000002,30.0,3.0,4.27,3.0,88.8,themecat
themecat-398,O=C=O,[H][H],CO,[Cu].[Mg].[Ti],0.022,1.0,239.85000000000002,30.0,3.0,4.27,3.0,88.8,themecat
themecat-399,O=C=O,[H][H],CO,[Cu].[Mg].[Ti],0.0291,1.0,259.85,30.0,3.0,4.27,3.0,88.8,themecat
themecat-400,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],0.0866,1.0,239.85000000000002,20.0,3.0,5.2,3.0,45.0,themecat
themecat-401,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],0.0535,1.0,239.85000000000002,20.0,3.0,2.4,3.0,45.0,themecat
themecat-402,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],0.1004,1.0,239.85000000000002,20.0,3.0,5.2,3.0,45.0,themecat
themecat-403,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],0.0567,1.0,239.85000000000002,20.0,3.0,2.4,3.0,45.0,themecat
themecat-404,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],0.0745,1.0,239.85000000000002,20.0,3.0,5.2,3.0,45.0,themecat
themecat-405,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],0.0504,1.0,239.85000000000002,20.0,3.0,2.4,3.0,45.0,themecat
themecat-406,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],0.097,1.0,239.85000000000002,20.0,3.0,5.2,3.0,45.0,themecat
themecat-407,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],0.0551,1.0,239.85000000000002,20.0,3.0,2.4,3.0,45.0,themecat
themecat-408,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],0.0463,1.0,239.85000000000002,20.0,3.0,2.4,3.0,45.0,themecat
themecat-409,O=C=O,[H][H],CO,[Cu].[Zn].[Zr],0.0626,1.0,239.85000000000002,20.0,3.0,5.2,3.0,45.0,themecat
themecat-410,O=C=O,[H][H],CO,[Pd].[Zn].[Ce].[Ca],0.0615,1.0,219.85000000000002,30.0,3.0,2.4,4.0,79.3,themecat
themecat-411,O=C=O,[H][H],CO,[Pd].[Zn].[Ce].[Ca],0.0751,1.0,229.85000000000002,30.0,3.0,2.4,4.0,79.3,themecat
themecat-412,O=C=O,[H][H],CO,[Pd].[Zn].[Ce].[Ca],0.0417,1.0,229.85000000000002,50.0,3.0,2.4,4.0,79.3,themecat
