index,reactant,reagent,product,catalyst,ethanol_sty,time_h,temperature_c,pressure_bar,h2_co_ratio,ghsv_h-1,catalyst_components_count,catalyst_primary_loading_wt,source_dataset
Phase 1-2,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr],0.011581165409511164,1.0,260.0,50.0,2.0,24000.0,4,66.36796000000001,zenodo_11639494_phase_1
Phase 1-3,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Cu].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr].[Zr],0.015394653188093656,1.0,260.0,50.0,2.0,24000.0,4,42.412485000000004,zenodo_11639494_phase_1
Phase 1-4,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Cu].[Cu].[Zr].[Zr],0.02690798904575542,1.0,260.0,50.0,2.0,24000.0,4,63.209145,zenodo_11639494_phase_1
Phase 1-5,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Cu].[Zr].[Zr],0.02820778104570883,1.0,260.0,50.0,2.0,24000.0,4,73.70364000000001,zenodo_11639494_phase_1
Phase 1-6,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Cu].[Cu].[Cu].[Zr],0.02659114972540879,1.0,260.0,50.0,2.0,24000.0,4,74.6282,zenodo_11639494_phase_1
Phase 2 seed-1,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.004403633035942177,1.0,250.0,50.0,1.5,30000.0,4,47.8,zenodo_11639494_phase_2_seed
Phase 2 seed-2,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.009141420407281095,1.0,270.0,50.0,1.5,27000.0,4,47.8,zenodo_11639494_phase_2_seed
Phase 2 seed-3,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.003757713729106809,1.0,240.0,50.0,3.0,42000.0,4,47.8,zenodo_11639494_phase_2_seed
Phase 2 seed-4,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.009279367396395663,1.0,260.0,50.0,3.0,36000.0,4,47.8,zenodo_11639494_phase_2_seed
Phase 2 seed-5,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].[Zr].[Zr],0.01086852505114978,1.0,280.0,50.0,2.5,24000.0,4,47.8,zenodo_11639494_phase_2_seed
Phase 2 seed-6,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Cu].[Cu].[Zr].[Zr].[Zr],0.00610661577606078,1.0,250.0,50.0,1.5,12000.0,4,40.1,zenodo_11639494_phase_2_seed
Phase 2 seed-7,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Cu].[Cu].[Zr].[Zr].[Zr],0.009565102565338478,1.0,260.0,50.0,1.5,18000.0,4,40.1,zenodo_11639494_phase_2_seed
Phase 2 seed-8,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Cu].[Cu].[Zr].[Zr].[Zr],0.007841620843542505,1.0,240.0,50.0,3.0,24000.0,4,40.1,zenodo_11639494_phase_2_seed
Phase 2 seed-9,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Cu].[Cu].[Zr].[Zr].[Zr],0.014827279607657694,1.0,270.0,50.0,3.0,27000.0,4,40.1,zenodo_11639494_phase_2_seed
Phase 2 seed-10,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Co].[Cu].[Cu].[Zr].[Zr].[Zr],0.012082500792028732,1.0,280.0,50.0,2.5,24000.0,4,40.1,zenodo_11639494_phase_2_seed
Phase 2 seed-11,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Cu].[Cu].[Zr].[Zr],0.011871413375717815,1.0,240.0,50.0,1.5,27000.0,4,60.509119999999996,zenodo_11639494_phase_2_seed
Phase 2 seed-12,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Cu].[Cu].[Zr].[Zr],0.02818232755559108,1.0,270.0,50.0,1.5,30000.0,4,60.509119999999996,zenodo_11639494_phase_2_seed
Phase 2 seed-13,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Cu].[Cu].[Zr].[Zr],0.03782383920932723,1.0,250.0,50.0,3.0,36000.0,4,60.509119999999996,zenodo_11639494_phase_2_seed
Phase 2 seed-14,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Cu].[Cu].[Zr].[Zr],0.021986854314051184,1.0,260.0,50.0,3.0,18000.0,4,60.509119999999996,zenodo_11639494_phase_2_seed
Phase 2 seed-15,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Co].[Co].[Cu].[Cu].[Zr].[Zr],0.012418687575423363,1.0,280.0,50.0,2.5,24000.0,4,60.509119999999996,zenodo_11639494_phase_2_seed
Phase 2 seed-16,[C-]#[O+],[H][H],CCO,[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Co].[Co].[Cu].[Cu].[Zr].[Zr],0.014990088954845084,1.0,240.0,50.0,1.5,36000.0,4,68.67554999999999,zenodo_11639494_phase_2_seed
